net,length_um
decode_stage.rf.rf1rd1\[9\],345.31µm
mw.pc_plus4_w\[22\],344.3µm
net32,343.22µm
_05482_,342.44µm
net44,340.74µm
net187,339.835µm
_07484_,338.94µm
net31,338.92µm
mw.pc_plus4_w\[31\],337.54µm
net33,337.4µm
net71,337.02µm
mw.pc_plus4_w\[14\],336.17µm
clknet_4_9_0_clk_regs,335.82µm
net45,335.76µm
_07483_,335.42µm
net153,335.035µm
net87,332.94µm
_04824_,332.52µm
mw.pc_plus4_w\[30\],331.08µm
net88,330.325µm
net120,329.28µm
net133,328.93µm
_04825_,328.75µm
net1,328.3µm
net34,328.04µm
net140,327.77µm
net143,326.815µm
decode_stage.rf.rf1rd1\[1\],326.305µm
decode_stage.rf.rf1rd1\[7\],325.79µm
net76,325.7µm
net208,325.6µm
net93,324.9µm
mw.pc_plus4_w\[19\],324.33µm
mw.pc_plus4_w\[23\],324.19µm
mw.pc_plus4_w\[28\],323.74µm
net204,323.665µm
net183,322.91µm
decode_stage.rf.rf1rd1\[4\],322.31µm
mw.pc_plus4_w\[20\],321.42µm
net74,321.23µm
net82,320.36µm
em.write_data_m\[4\],319.92µm
_05679_,319.85µm
de.rd2_e\[8\],319.535µm
_06723_,319.46µm
net128,318.6µm
decode_stage.rf.rf1rd2\[29\],317.87µm
net149,316.94µm
net138,316.575µm
net210,316.225µm
mw.pc_plus4_w\[26\],315.74µm
net126,315.405µm
net5,314.74µm
clknet_4_15_0_clk_regs,314.73µm
_05811_,313.82µm
de.funct3_d\[13\],313.7µm
mw.pc_plus4_w\[29\],313.58µm
net121,313.45µm
net172,313.415µm
de.alu_control_e\[3\],312.01µm
_06465_,309.85µm
decode_stage.rf.rf1rd2\[20\],309.01µm
net134,307.8µm
net255,307.265µm
em.write_data_m\[0\],306.57µm
_03005_,306.005µm
_03515_,305.98µm
net201,305.825µm
mw.pc_plus4_w\[25\],305.82µm
net212,305.59µm
net203,305.555µm
_07468_,305.36µm
net152,304.395µm
net122,303.27µm
de.pc_e\[1\],303.14µm
net195,302.685µm
net162,302.395µm
net157,301.16µm
net130,300.245µm
net68,300µm
net92,299.96µm
_05480_,298.1µm
_05490_,297.56µm
net186,297.39µm
net137,296.92µm
net199,296.755µm
net135,296.145µm
_04791_,295.08µm
net144,294.82µm
de.funct3_d\[12\],294.55µm
net136,294.235µm
net156,294.19µm
net132,293.785µm
net205,292.945µm
net188,292.52µm
net125,291.81µm
net216,290.815µm
_04084_,290.38µm
net83,290.31µm
net14,290.1µm
net147,289.905µm
net25,288.32µm
net67,288.27µm
net190,288.205µm
net146,287.98µm
net179,287.93µm
net189,287.795µm
clknet_leaf_126_clk_regs,286.99µm
net213,286.91µm
_07270_,286.89µm
em.write_data_m\[3\],285.21µm
net155,285.01µm
net176,284.945µm
net86,283.24µm
net154,282.615µm
clknet_4_8_0_clk_regs,280.85µm
net200,280.41µm
net197,280.22µm
_03599_,279.74µm
net198,279.425µm
decode_stage.rf.rf1rd2\[9\],278.33µm
net91,278.3µm
net202,277.795µm
_05929_,277.46µm
net139,277.36µm
net95,277.155µm
net142,276.38µm
decode_stage.rf.rf1rd1\[6\],276.305µm
em.write_data_m\[6\],275.48µm
net90,275.17µm
_03046_,274.21µm
net158,273.91µm
_04896_,273.575µm
net207,273.2µm
net160,272.67µm
net151,272.42µm
decode_stage.rf.rf1rd2\[2\],272.23µm
net182,272.145µm
_07464_,271.7µm
net174,271.645µm
_06839_,271.26µm
decode_stage.rf.rf2rd2\[3\],270.87µm
net159,270.845µm
net193,270.37µm
_01228_,270.3µm
net173,270.135µm
decode_stage.rf.rf1rd2\[22\],267.51µm
net206,267.175µm
_05354_,266.15µm
_04786_,265.82µm
net163,265.76µm
_04819_,264.99µm
net217,264.91µm
em.write_data_m\[7\],264.56µm
_05620_,264.08µm
_07471_,262.32µm
_05745_,261.4µm
net94,261.28µm
net209,260.48µm
em.write_data_m\[5\],260.44µm
net196,260.09µm
clk_regs,259.66µm
_05306_,257.56µm
decode_stage.rf.rf2rd1\[6\],256.81µm
clknet_leaf_110_clk_regs,256.38µm
net141,255.89µm
_05484_,255.11µm
em.write_data_m\[2\],254.82µm
_06378_,253.275µm
decode_stage.rf.rf1_index1\[0\],252.54µm
decode_stage.rf.rf1rd2\[4\],252.495µm
_06774_,252.26µm
net73,251.535µm
net177,251.43µm
_03557_,251.02µm
_05319_,250.99µm
net131,250.335µm
em.write_data_m\[1\],250.32µm
_06018_,250.04µm
_07466_,249.62µm
net148,249.465µm
net211,249.44µm
_05498_,249.18µm
clknet_leaf_133_clk_regs,247.47µm
_06189_,247.21µm
_01510_,245.895µm
net127,245.87µm
_05746_,242.5µm
_04988_,242.33µm
_05994_,241.75µm
decode_stage.rf.rf2rd1\[1\],241.75µm
_04395_,241.405µm
net184,241.255µm
decode_stage.rf.rf2rd1\[4\],240.87µm
clknet_leaf_98_clk_regs,240.84µm
_04126_,239.42µm
_06421_,239.22µm
decode_stage.rf.rf1rd2\[3\],239.11µm
_07491_,238.04µm
_01512_,237.475µm
net145,236.875µm
net181,236.515µm
_04792_,235.65µm
clknet_leaf_165_clk_regs,235.27µm
net96,235.02µm
_05312_,234.745µm
_06402_,233.94µm
de.tid_d\[1\],233.9µm
_07488_,233.7µm
_04794_,233.38µm
_05267_,232.725µm
_05325_,232.57µm
_05496_,232.29µm
_03685_,231.46µm
_04787_,229.68µm
_04939_,228.265µm
decode_stage.rf.rf1rd2\[21\],226.87µm
_04343_,226.505µm
_04793_,224.74µm
decode_stage.rf.rf2rd1\[5\],223.61µm
net129,223.545µm
net185,223.535µm
_06969_,222.52µm
decode_stage.rf.rf1_index1\[3\],221.58µm
net89,221.26µm
_06072_,220.25µm
_04795_,220.12µm
net124,220.115µm
_03729_,219.39µm
_01758_,218.955µm
_04962_,218.395µm
_04817_,218.35µm
_04300_,218.12µm
_01511_,216.16µm
_02826_,215.195µm
net175,215.015µm
_04999_,214.79µm
_05233_,214.355µm
_05246_,213.195µm
_05331_,212.66µm
_05336_,211.995µm
_05283_,211.685µm
_05812_,211.655µm
decode_stage.rf.rf1_index1\[2\],211.38µm
_07492_,210.56µm
decode_stage.rf.rf1rd2\[17\],208.83µm
_04170_,208.81µm
_03771_,208.39µm
_06734_,207.33µm
de.alu_control_e\[10\],207.3µm
_06903_,206.81µm
_04257_,206.56µm
_04386_,206.53µm
net192,206.34µm
_05258_,205.94µm
net178,205.23µm
alu_result_m_i\[7\],205.02µm
_07499_,204.94µm
_05274_,204.84µm
_06203_,204.52µm
_05230_,204.355µm
_04548_,204.075µm
_07457_,204.04µm
_04617_,203.875µm
net214,203.265µm
decode_stage.rf.rf1rd2\[6\],203.01µm
_06945_,202.43µm
_06110_,201.89µm
_04213_,201.3µm
de.rd2_e\[20\],200.94µm
decode_stage.rf.rf2rd1\[7\],200.41µm
_04820_,198.79µm
net164,197.32µm
de.pc_e\[0\],196.75µm
_06808_,196.54µm
_03472_,196.31µm
_06364_,196.03µm
net69,195.69µm
_07431_,193.795µm
decode_stage.imex.instr\[16\],192.35µm
_05144_,192.32µm
_03473_,191.12µm
_04796_,190.3µm
decode_stage.imex.instr\[18\],189.81µm
_05080_,189.65µm
decode_stage.rf.rf1rd2\[24\],189.35µm
_07482_,189.295µm
clknet_leaf_70_clk_regs,189.18µm
_04990_,188.57µm
alu_result_m_i\[6\],188.475µm
_02821_,188.42µm
_01547_,188.12µm
decode_stage.rf.rf1rd1\[15\],187.85µm
clknet_leaf_91_clk_regs,187.33µm
_05238_,187.19µm
clknet_leaf_158_clk_regs,186.97µm
decode_stage.rf.rf1rd2\[10\],186.75µm
_07459_,186.3µm
_05059_,186.05µm
_05993_,185.615µm
alu_result_m_i\[4\],185.615µm
_05222_,185.21µm
_04751_,185.175µm
clknet_leaf_88_clk_regs,184.58µm
clknet_leaf_127_clk_regs,184.435µm
clknet_leaf_125_clk_regs,183.72µm
em.funct3_m\[13\],183.635µm
_05239_,183.57µm
alu_result_m_i\[2\],183.105µm
_05177_,182.895µm
_05049_,182.86µm
clknet_leaf_96_clk_regs,182.12µm
_06702_,181.595µm
_04836_,181.135µm
_07420_,180.765µm
decode_stage.imex.instr\[17\],180.45µm
_05639_,180.095µm
clknet_leaf_95_clk_regs,179.815µm
_03430_,179.79µm
_05037_,179.41µm
_04747_,179.1µm
_04770_,179.05µm
_07462_,178.74µm
_04779_,178.28µm
_07190_,178.19µm
clknet_leaf_113_clk_regs,177.78µm
clknet_leaf_81_clk_regs,177.52µm
_05078_,176.91µm
clknet_leaf_132_clk_regs,176.38µm
net97,176.35µm
clknet_leaf_105_clk_regs,175.56µm
alu_result_m_i\[5\],174.645µm
_03218_,174.32µm
