net,length_um
decode_stage.rf.rf2rd1\[9\],135.91µm
_04745_,134.99µm
_04391_,134.98µm
mw.pc_plus4_w\[3\],134.89µm
_07437_,134.78µm
_07444_,134.59µm
_05030_,134.5µm
_03988_,134.46µm
clknet_leaf_100_clk_regs,134.335µm
_04708_,134µm
_04808_,133.985µm
_04684_,133.98µm
_05060_,133.94µm
clknet_leaf_140_clk_regs,133.915µm
_04706_,133.91µm
_05065_,133.88µm
clknet_leaf_168_clk_regs,133.82µm
clknet_leaf_56_clk_regs,133.8µm
_04717_,133.6µm
clknet_leaf_67_clk_regs,133.5µm
_04731_,133.42µm
_04732_,133.41µm
decode_stage.imex.instr\[15\],133.39µm
_05057_,133.28µm
clknet_leaf_79_clk_regs,133.075µm
_03089_,133.01µm
clknet_leaf_149_clk_regs,132.82µm
_07427_,132.71µm
_04734_,132.54µm
_07188_,132.45µm
_05199_,132.425µm
_05362_,132.28µm
_04713_,132.24µm
clknet_leaf_184_clk_regs,131.89µm
mw.pc_plus4_w\[7\],131.7µm
_07412_,131.63µm
_07428_,131.58µm
_03797_,131.41µm
_01301_,131.24µm
_04388_,131.22µm
_04769_,131.16µm
_05029_,131.12µm
_04721_,131.1µm
decode_stage.cu.funct7b5,130.515µm
clknet_leaf_58_clk_regs,130.36µm
_05046_,130.27µm
decode_stage.cu.op\[5\],129.9µm
clknet_leaf_142_clk_regs,129.82µm
clknet_leaf_64_clk_regs,129.63µm
clknet_leaf_5_clk_regs,129.57µm
decode_stage.rf.rf1rd2\[7\],129.45µm
_07449_,129.37µm
decode_stage.rd_w\[3\],129.37µm
_04985_,129.3µm
_04693_,129.22µm
_04393_,129.19µm
_05053_,129.12µm
_05034_,128.84µm
_06103_,128.755µm
_03814_,128.71µm
clknet_leaf_177_clk_regs,128.61µm
_07424_,128.58µm
_04686_,128.14µm
_05055_,128.12µm
clknet_leaf_151_clk_regs,127.995µm
_05162_,127.74µm
_03134_,127.62µm
_07441_,127.62µm
_07411_,127.61µm
decode_stage.rf.rf1rd2\[18\],127.59µm
_04739_,127.28µm
_04940_,127.27µm
_04768_,127.26µm
_05045_,126.9µm
_04763_,126.7µm
_04728_,126.61µm
_05084_,126.44µm
_07443_,126.34µm
_04811_,126.33µm
_04756_,126.28µm
clknet_leaf_178_clk_regs,126.24µm
clknet_leaf_135_clk_regs,126.08µm
_01396_,126µm
_05050_,125.86µm
_05726_,125.81µm
_04965_,125.67µm
_05681_,125.61µm
mw.pc_plus4_w\[10\],125.43µm
_04746_,125.42µm
_07435_,125.32µm
_04726_,125.29µm
_07430_,125.275µm
_04691_,125.13µm
_06989_,125.13µm
_06782_,125.1µm
_03345_,124.88µm
clknet_leaf_120_clk_regs,124.8µm
_04959_,124.74µm
clknet_leaf_173_clk_regs,124.72µm
_05401_,124.435µm
_05016_,124.14µm
_05081_,124.12µm
_05187_,124.08µm
_07422_,124.08µm
_06921_,123.71µm
_04781_,123.64µm
_07189_,123.42µm
clknet_leaf_93_clk_regs,123.3µm
clknet_leaf_94_clk_regs,123.22µm
_04695_,122.6µm
_04765_,122.42µm
de.pc_d\[16\],122.25µm
_04748_,122.2µm
_06232_,122.18µm
_05747_,122.16µm
_05085_,122.15µm
_05909_,122.02µm
_05061_,121.98µm
_02823_,121.94µm
_04720_,121.85µm
_05033_,121.78µm
_04703_,121.77µm
_07448_,121.76µm
_04692_,121.54µm
_05086_,121.52µm
_07418_,121.44µm
_04759_,121.42µm
_04741_,121.2µm
_04711_,121.04µm
_06952_,120.88µm
clknet_leaf_118_clk_regs,120.83µm
_01196_,120.75µm
_06999_,120.62µm
_04738_,120.56µm
_05145_,120.54µm
_02870_,120.52µm
clknet_leaf_108_clk_regs,120.48µm
clknet_leaf_122_clk_regs,120.36µm
_06013_,120.165µm
_04761_,119.66µm
clknet_leaf_73_clk_regs,119.66µm
_04762_,119.51µm
_04772_,119.5µm
_05024_,119.5µm
_01304_,119.365µm
clknet_leaf_163_clk_regs,119.34µm
_07432_,119.3µm
_03750_,119.26µm
_04782_,119.26µm
_05503_,119.16µm
decode_stage.rf.rf2rd1\[17\],119.15µm
_04809_,119.06µm
clknet_leaf_59_clk_regs,119.06µm
_04994_,118.95µm
_06010_,118.82µm
_05403_,118.74µm
_05027_,118.32µm
_06929_,118.3µm
_04766_,118.28µm
_01195_,118.235µm
_05051_,117.72µm
_05437_,117.5µm
em.write_data_m\[11\],117.455µm
_05031_,117.03µm
_04760_,116.96µm
clknet_leaf_89_clk_regs,116.4µm
_04938_,116.26µm
clknet_leaf_114_clk_regs,116.22µm
_04682_,116.205µm
_04696_,116.055µm
clknet_leaf_157_clk_regs,115.92µm
mw.pc_plus4_w\[4\],115.7µm
_07445_,115.56µm
_04986_,115.52µm
_06437_,115.51µm
_07434_,115.38µm
_04733_,115.36µm
clknet_leaf_57_clk_regs,115.36µm
_07425_,115.24µm
_06223_,115.125µm
_05026_,115.12µm
clknet_leaf_139_clk_regs,115.105µm
_04976_,115.1µm
_03900_,115.08µm
net75,115.01µm
_04773_,114.98µm
_07423_,114.69µm
_04749_,114.62µm
_04777_,114.62µm
_07419_,114.34µm
_04778_,114.16µm
_05087_,114.11µm
clknet_leaf_76_clk_regs,114µm
_04992_,113.9µm
_04771_,113.88µm
_04394_,113.87µm
_05752_,113.86µm
_05044_,113.54µm
decode_stage.rf.rf2rd1\[19\],113.31µm
_03002_,113.055µm
_04995_,113.02µm
clknet_leaf_61_clk_regs,112.86µm
_05056_,112.82µm
_04742_,112.75µm
_06187_,112.67µm
_02822_,112.37µm
_07436_,112.37µm
clknet_leaf_167_clk_regs,112.26µm
_05052_,112.22µm
_04987_,112µm
_05040_,111.86µm
de.rd1_e\[21\],111.845µm
_01326_,111.635µm
clknet_leaf_0_clk_regs,111.62µm
_04700_,111.55µm
_07410_,111.44µm
_03826_,111.36µm
_05321_,111.32µm
_04991_,111.18µm
clknet_leaf_15_clk_regs,111.17µm
_04813_,111.16µm
_07042_,111.14µm
_06645_,111µm
_04709_,110.96µm
clknet_leaf_136_clk_regs,110.96µm
_05009_,110.83µm
_05020_,110.66µm
_03388_,110.3µm
_06263_,110.28µm
decode_stage.cu.op\[4\],110.14µm
_04744_,109.76µm
_04789_,109.76µm
_05082_,109.7µm
_02827_,109.66µm
clknet_leaf_134_clk_regs,109.48µm
_01329_,109.475µm
_05041_,109.3µm
_05609_,109.24µm
_07017_,109.1µm
_06859_,108.84µm
_02796_,108.72µm
_05058_,108.7µm
_07117_,108.615µm
clknet_leaf_55_clk_regs,108.6µm
_05039_,108.52µm
_05000_,108.5µm
_04730_,108.49µm
_07415_,108.39µm
_06099_,108.3µm
_05451_,108.18µm
_04685_,108.08µm
_07438_,108µm
_03640_,107.98µm
_06413_,107.905µm
_05839_,107.83µm
_05964_,107.75µm
_07416_,107.42µm
_04715_,107.4µm
_06265_,107.37µm
_05849_,107.36µm
_04701_,107.28µm
clknet_leaf_153_clk_regs,107.26µm
_07187_,107.225µm
clknet_leaf_2_clk_regs,107.2µm
clknet_leaf_9_clk_regs,107.13µm
clknet_leaf_104_clk_regs,107.06µm
_06677_,106.86µm
_07191_,106.86µm
_05415_,106.69µm
_02824_,106.6µm
_01203_,106.505µm
_04934_,106.5µm
_04389_,106.14µm
mw.pc_plus4_w\[9\],106.14µm
_03003_,106.13µm
_04702_,106µm
decode_stage.rd_w\[1\],105.99µm
clknet_leaf_116_clk_regs,105.98µm
_07440_,105.58µm
mw.pc_plus4_w\[6\],105.57µm
_05930_,105.53µm
_06014_,105.52µm
clknet_leaf_14_clk_regs,105.38µm
_04729_,105.36µm
_06062_,105.24µm
_02825_,105.22µm
_04758_,105.2µm
_05971_,105.16µm
_06489_,105.04µm
_04698_,105.01µm
_07048_,105µm
_06580_,104.94µm
_03728_,104.88µm
_04752_,104.85µm
_02817_,104.84µm
clknet_leaf_159_clk_regs,104.65µm
_06704_,104.61µm
_05022_,104.6µm
_05766_,104.5µm
_04714_,104.34µm
_07447_,104.2µm
_06775_,104.1µm
clknet_leaf_65_clk_regs,104.055µm
decode_stage.rf.rf1rd2\[14\],103.98µm
_05368_,103.81µm
_07417_,103.76µm
alu_result_m_i\[1\],103.6µm
de.imm_val_d\[31\],103.44µm
clknet_leaf_4_clk_regs,103.24µm
_07413_,103.2µm
_04780_,103.035µm
de.rd1_e\[22\],102.82µm
clknet_leaf_187_clk_regs,102.72µm
_02840_,102.7µm
_02887_,102.7µm
_05714_,102.57µm
_04755_,102.32µm
_06239_,102.14µm
_04933_,102.13µm
_05709_,102.12µm
_02881_,101.98µm
decode_stage.cu.op\[6\],101.95µm
_05210_,101.915µm
_05066_,101.9µm
clknet_leaf_83_clk_regs,101.88µm
clknet_leaf_146_clk_regs,101.78µm
_05023_,101.775µm
_06626_,101.75µm
_05815_,101.62µm
_05079_,101.57µm
em.write_data_m\[10\],101.465µm
clknet_leaf_36_clk_regs,101.4µm
_01204_,101.235µm
_01285_,101.165µm
_07026_,100.94µm
_04704_,100.515µm
_05452_,100.49µm
clknet_leaf_17_clk_regs,100.455µm
_04074_,100.39µm
_04961_,100.31µm
_05686_,100.22µm
_04235_,99.82µm
_04932_,99.59µm
_04754_,98.97µm
_05841_,98.87µm
_04764_,98.74µm
_05063_,98.7µm
_04392_,98.56µm
_04697_,98.51µm
_04727_,98.46µm
_06684_,98.36µm
clknet_leaf_181_clk_regs,98.33µm
_05073_,98.26µm
_06390_,98.19µm
_05083_,98.14µm
_05025_,97.62µm
_05680_,97.62µm
_06439_,97.375µm
_06214_,97.25µm
clknet_leaf_130_clk_regs,96.98µm
clknet_leaf_7_clk_regs,96.6µm
_02819_,96.44µm
_04722_,96.4µm
_05748_,96.33µm
_04736_,96.24µm
_06519_,96.125µm
_05641_,96.12µm
clknet_leaf_176_clk_regs,96.12µm
decode_stage.rf.rf2rd1\[0\],95.89µm
_01522_,95.36µm
de.funct3_e\[12\],95.1µm
clknet_leaf_147_clk_regs,95.07µm
_05408_,94.965µm
_07421_,94.63µm
_05324_,94.6µm
_07429_,94.59µm
_05339_,94.57µm
clknet_leaf_82_clk_regs,94.4µm
_05796_,94.385µm
_04767_,94.3µm
_04707_,94.16µm
_04716_,94.12µm
_05682_,94.11µm
_05206_,93.97µm
_05504_,93.795µm
_05335_,93.79µm
_04989_,93.78µm
decode_stage.rf.rf2rd1\[10\],93.77µm
_06728_,93.7µm
_05375_,93.54µm
_04941_,93.34µm
_05785_,93.32µm
_05284_,93.28µm
_05697_,93µm
_06340_,92.86µm
_06157_,92.54µm
_03045_,92.32µm
_02892_,92.28µm
clknet_leaf_150_clk_regs,92.2µm
_05035_,92.08µm
_04712_,92.06µm
_05916_,91.96µm
_05479_,91.745µm
_04740_,91.535µm
_04833_,91.43µm
_02872_,91.38µm
clknet_leaf_20_clk_regs,90.99µm
_05604_,90.96µm
_02806_,90.84µm
_05028_,90.68µm
_01198_,90.645µm
_05430_,90.56µm
_06224_,90.48µm
_04790_,90.36µm
_05355_,90.065µm
_05076_,90.06µm
_05075_,89.88µm
clknet_leaf_154_clk_regs,89.855µm
_05188_,89.78µm
_05453_,89.78µm
de.pc_e\[21\],89.58µm
_05021_,89.42µm
_04341_,89.36µm
_05017_,89.24µm
_06904_,89.2µm
clknet_leaf_124_clk_regs,89.16µm
_07078_,89.08µm
_02835_,88.93µm
decode_stage.rf.rf2rd1\[30\],88.91µm
_06083_,88.87µm
_04390_,88.56µm
clknet_leaf_160_clk_regs,88.53µm
_02829_,88.46µm
_04710_,88.44µm
_03956_,88.43µm
_04757_,88.4µm
_05394_,88.345µm
_01328_,88.285µm
net20,88.08µm
_05472_,88µm
_05856_,87.7µm
_05483_,87.615µm
clknet_leaf_145_clk_regs,87.58µm
_04840_,87.48µm
em.write_data_m\[8\],87.315µm
clknet_leaf_37_clk_regs,87.14µm
clknet_leaf_179_clk_regs,87.06µm
clknet_leaf_180_clk_regs,87.02µm
_06195_,87.01µm
_05438_,86.97µm
clknet_leaf_84_clk_regs,86.9µm
_05778_,86.72µm
_03324_,86.7µm
_02816_,86.68µm
_04718_,86.68µm
_04806_,86.66µm
net19,86.38µm
de.rd2_e\[7\],86.25µm
clknet_leaf_1_clk_regs,86.24µm
_05310_,86.235µm
_05048_,86.16µm
_06572_,86.03µm
_03302_,86µm
_04974_,85.92µm
_05553_,85.92µm
_01192_,85.905µm
_03856_,85.88µm
_05194_,85.835µm
_05374_,85.835µm
_05018_,85.62µm
clknet_leaf_6_clk_regs,85.56µm
_05432_,85.55µm
decode_stage.rf.rf2rd1\[2\],85.39µm
_06067_,85.24µm
_01513_,85.205µm
_05042_,84.84µm
_06865_,84.62µm
_06744_,84.57µm
de.funct3_d\[14\],84.47µm
clknet_leaf_164_clk_regs,84.415µm
_05942_,84.305µm
_05417_,84.14µm
clknet_leaf_175_clk_regs,84.1µm
_06473_,84.07µm
mw.pc_plus4_w\[5\],84.03µm
_02838_,84.01µm
_06795_,84.01µm
_07478_,83.82µm
_06726_,83.74µm
_07077_,83.68µm
_01408_,83.58µm
_04931_,83.285µm
em.write_data_m\[12\],83.205µm
_07018_,83.08µm
_02871_,83.04µm
_07446_,82.8µm
decode_stage.imex.instr\[25\],82.8µm
_03945_,82.78µm
_01516_,82.76µm
_07066_,82.56µm
_05302_,82.5µm
_07096_,82.4µm
_06298_,82.28µm
_02799_,82.2µm
_04725_,82.17µm
_03641_,82.04µm
_06367_,81.98µm
mw.pc_plus4_w\[8\],81.975µm
_05753_,81.96µm
_06323_,81.95µm
_06593_,81.92µm
_02859_,81.81µm
_03944_,81.74µm
_06491_,81.61µm
_01562_,81.605µm
_03858_,81.44µm
_02902_,81.42µm
_06671_,81.37µm
clknet_leaf_35_clk_regs,81.365µm
_05491_,81.23µm
_05813_,81.11µm
_04837_,81.03µm
_03361_,80.98µm
clknet_leaf_155_clk_regs,80.96µm
_01202_,80.84µm
_07182_,80.74µm
_01208_,80.68µm
_04926_,80.61µm
_05642_,80.56µm
_02851_,80.38µm
clknet_leaf_38_clk_regs,80.14µm
_04687_,80.02µm
_04325_,79.72µm
_01523_,79.605µm
_06274_,79.42µm
_06371_,79.22µm
_06508_,79.205µm
_03684_,79.2µm
_05204_,79.07µm
_03081_,78.92µm
_05329_,78.88µm
clknet_leaf_60_clk_regs,78.86µm
decode_stage.rf.rf1rd2\[11\],78.83µm
decode_stage.rf.rf2rd2\[10\],78.81µm
_06874_,78.8µm
_06598_,78.725µm
clknet_leaf_41_clk_regs,78.71µm
_05667_,78.5µm
_06306_,78.45µm
_02861_,78.43µm
decode_stage.rf.rf2rd2\[25\],78.21µm
decode_stage.imex.instr\[28\],78.14µm
_06169_,78.03µm
_06466_,77.98µm
_03735_,77.94µm
_05716_,77.86µm
_04149_,77.68µm
_05313_,77.635µm
em.write_data_m\[17\],77.46µm
em.write_data_m\[19\],77.35µm
_06190_,77.24µm
_05897_,77.22µm
_06636_,76.97µm
_03131_,76.87µm
_03696_,76.86µm
_07199_,76.82µm
_03130_,76.8µm
_03857_,76.72µm
_01199_,76.66µm
_05307_,76.6µm
clknet_leaf_16_clk_regs,76.6µm
_06454_,76.595µm
_03047_,76.51µm
decode_stage.rf.rf2rd2\[1\],76.51µm
em.mem_write_m,76.51µm
net21,76.5µm
_06359_,76.38µm
clknet_leaf_54_clk_regs,76.28µm
_02797_,76.24µm
net84,76.16µm
_05850_,76.14µm
_05733_,76.12µm
de.rd_d\[0\],76µm
_04127_,75.84µm
_06121_,75.835µm
decode_stage.rf.rf2rd1\[3\],75.83µm
_05255_,75.68µm
fetch_stage.thread_pc.t_pc\[4\]\[20\],75.64µm
de.rd2_e\[11\],75.62µm
_01193_,75.535µm
decode_stage.rf.rf1rd2\[15\],75.53µm
_05213_,75.44µm
em.write_data_m\[9\],75.295µm
_05833_,75.29µm
_05340_,75.12µm
decode_stage.rf.rf2rd2\[16\],75.11µm
_06247_,75.06µm
em.write_data_m\[21\],74.96µm
decode_stage.rf.rf2rd1\[25\],74.95µm
_05478_,74.76µm
clknet_leaf_3_clk_regs,74.36µm
_05363_,74.16µm
_06261_,74.145µm
_05901_,74.12µm
_01205_,74.085µm
_03488_,74.08µm
_03286_,73.84µm
_07161_,73.76µm
_02877_,73.6µm
_01345_,73.58µm
_04785_,73.58µm
_06694_,73.52µm
_04031_,73.5µm
_03343_,73.44µm
fetch_stage.thread_pc.t_pc\[5\]\[20\],73.42µm
decode_stage.rf.rf2rd1\[26\],73.35µm
_05393_,73.3µm
net85,73.23µm
_01200_,72.975µm
_05326_,72.9µm
_04912_,72.86µm
_05305_,72.76µm
_03577_,72.66µm
_06346_,72.4µm
_06141_,72.27µm
mw.pc_plus4_w\[11\],72.125µm
_05495_,72.09µm
decode_stage.rf.rf2rd1\[28\],72.07µm
_05631_,72.04µm
_05578_,71.96µm
_05996_,71.88µm
_02875_,71.83µm
_05421_,71.605µm
_01563_,71.505µm
_07101_,71.425µm
_02855_,71.4µm
_02917_,71.38µm
em.write_data_m\[15\],71.305µm
_05669_,71.22µm
_05671_,71.04µm
branch_e_i,71.04µm
_06180_,71.02µm
clknet_leaf_29_clk_regs,70.98µm
_03943_,70.88µm
em.write_data_m\[20\],70.82µm
_01209_,70.805µm
_06227_,70.75µm
_04212_,70.72µm
_06552_,70.66µm
clknet_leaf_12_clk_regs,70.64µm
_01210_,70.63µm
clknet_leaf_44_clk_regs,70.58µm
em.funct3_m\[14\],70.54µm
_05763_,70.48µm
_03965_,70.36µm
_06230_,70.24µm
decode_stage.rf.rf2rd2\[26\],70.23µm
_03182_,70.14µm
em.write_data_m\[18\],70.14µm
_01207_,70.1µm
_05399_,70.075µm
_06356_,70.04µm
_05116_,69.96µm
_06041_,69.93µm
_01672_,69.88µm
clknet_leaf_21_clk_regs,69.86µm
em.write_data_m\[13\],69.705µm
clknet_leaf_39_clk_regs,69.7µm
_01696_,69.62µm
_05396_,69.59µm
_06494_,69.58µm
clknet_leaf_11_clk_regs,69.48µm
_02812_,69.42µm
_05793_,69.36µm
_01521_,69.3µm
_05886_,69.24µm
_05200_,69.205µm
_06660_,69.16µm
_06309_,69.02µm
_01309_,68.9µm
_01524_,68.82µm
_05332_,68.66µm
_07115_,68.66µm
_01587_,68.245µm
clknet_leaf_13_clk_regs,68.235µm
de.pc_plus4_d\[15\],68.18µm
_07137_,68.14µm
_03597_,68.12µm
_05287_,68.09µm
_04960_,68.06µm
decode_stage.rf.rf2rd1\[12\],68.05µm
_02839_,67.98µm
em.write_data_m\[14\],67.945µm
net12,67.82µm
_05621_,67.78µm
_05627_,67.765µm
_01212_,67.755µm
decode_stage.rf.rf2rd1\[24\],67.75µm
_01206_,67.685µm
de.pc_plus4_e\[5\],67.58µm
_04277_,67.54µm
_05501_,67.46µm
clknet_leaf_183_clk_regs,67.37µm
alu_result_m_i\[0\],67.345µm
_05370_,67.32µm
_05197_,67.14µm
_05276_,67.13µm
fetch_stage.thread_pc.t_pc\[4\]\[6\],67.11µm
_03429_,67.1µm
_03291_,67.06µm
_06793_,66.96µm
_06858_,66.92µm
_04044_,66.68µm
_06451_,66.56µm
_05376_,66.44µm
_06517_,66.2µm
_05695_,66.165µm
_05579_,66.155µm
de.pc_plus4_d\[16\],66.08µm
_05337_,65.98µm
_02813_,65.84µm
_03521_,65.84µm
_06293_,65.82µm
_05381_,65.78µm
_04846_,65.68µm
_03303_,65.65µm
_07120_,65.56µm
clknet_leaf_24_clk_regs,65.54µm
_02845_,65.42µm
alu_result_m_i\[31\],65.24µm
_05268_,65.2µm
clknet_leaf_18_clk_regs,65.2µm
_04240_,65.06µm
_06106_,65µm
_06129_,64.64µm
_01527_,64.625µm
_04163_,64.62µm
decode_stage.rf.rf1rd2\[8\],64.57µm
_06983_,64.54µm
_06872_,64.5µm
de.pc_d\[23\],64.22µm
_01586_,64.165µm
_03902_,64.1µm
_06801_,64.08µm
decode_stage.rf.rf2rd2\[21\],63.95µm
_01760_,63.92µm
_06185_,63.86µm
_01712_,63.82µm
_05910_,63.7µm
_03200_,63.68µm
_01299_,63.645µm
_01588_,63.62µm
_06533_,63.62µm
de.pc_plus4_d\[14\],63.58µm
_05932_,63.46µm
_05224_,63.38µm
alu_result_m_i\[30\],63.34µm
_03139_,63.32µm
_04788_,63.28µm
_02882_,63.24µm
_03123_,63.2µm
_03205_,63.16µm
_02818_,63.1µm
fetch_stage.thread_pc.t_pc\[5\]\[4\],63.1µm
decode_stage.rf.rf2rd2\[24\],62.95µm
fetch_stage.thread_pc.t_pc\[5\]\[6\],62.94µm
_02815_,62.84µm
_04841_,62.84µm
_06368_,62.7µm
_06310_,62.65µm
_05100_,62.62µm
decode_stage.rf.rf2rd2\[5\],62.61µm
de.imm_val_e\[26\],62.6µm
_05826_,62.455µm
fetch_stage.thread_pc.t_pc\[5\]\[2\],62.36µm
_02842_,62.26µm
_07456_,62.11µm
_06276_,62.06µm
de.pc_plus4_d\[17\],62.04µm
mw.pc_plus4_w\[0\],62µm
decode_stage.rf.rf2rd2\[22\],61.77µm
_06850_,61.69µm
_01526_,61.665µm
_03217_,61.6µm
_06193_,61.4µm
_05361_,61.36µm
_06715_,61.24µm
_01668_,61.16µm
_05913_,61.13µm
_05409_,61.01µm
_03556_,60.99µm
_01507_,60.925µm
decode_stage.rf.rf2rd1\[31\],60.73µm
_01546_,60.6µm
_06362_,60.48µm
_03441_,60.38µm
_06992_,60.37µm
_02858_,60.32µm
_01585_,60.305µm
de.pc_plus4_d\[18\],60.3µm
_06892_,60.24µm
de.pc_e\[12\],60.18µm
_02833_,60.16µm
net24,60.14µm
_06857_,60.1µm
fetch_stage.thread_pc.t_pc\[0\]\[6\],60.03µm
_04211_,59.9µm
_04075_,59.86µm
em.write_data_m\[23\],59.74µm
_05429_,59.64µm
de.pc_plus4_e\[21\],59.56µm
_05814_,59.475µm
em.write_data_m\[16\],59.32µm
_03691_,59.28µm
_05406_,59.24µm
_01310_,59.16µm
clknet_leaf_10_clk_regs,59.08µm
_05873_,59.06µm
_03678_,58.98µm
_06823_,58.94µm
_05265_,58.92µm
_01560_,58.845µm
_06624_,58.82µm
_05963_,58.72µm
_02803_,58.7µm
_05216_,58.7µm
_01711_,58.62µm
_06567_,58.5µm
_01568_,58.46µm
de.pc_plus4_d\[13\],58.46µm
_06614_,58.4µm
_06148_,58.14µm
_02811_,58.12µm
_06843_,58.04µm
_01519_,57.985µm
_01561_,57.92µm
_02939_,57.88µm
decode_stage.rf.rf2rd2\[17\],57.85µm
_01518_,57.825µm
_04205_,57.62µm
_05308_,57.525µm
_03673_,57.52µm
decode_stage.rf.rf2rd2\[12\],57.51µm
_07003_,57.44µm
_05632_,57.27µm
_07036_,57.265µm
_04908_,57.22µm
_05433_,57.14µm
_05473_,57.13µm
de.imm_val_e\[3\],57.11µm
_04904_,57.02µm
_01713_,57µm
_05534_,56.965µm
_05890_,56.84µm
de.pc_plus4_d\[23\],56.8µm
decode_stage.rf.rf2rd1\[27\],56.71µm
_03113_,56.61µm
_01582_,56.585µm
fetch_stage.thread_pc.t_pc\[3\]\[27\],56.585µm
_01506_,56.405µm
_01308_,56.4µm
_00003_,56.325µm
_06650_,56.29µm
_05744_,56.28µm
_03271_,56.22µm
_03807_,56.14µm
_06210_,56.12µm
_06623_,56.07µm
_04375_,56.06µm
em.write_data_m\[22\],56.05µm
_01538_,55.96µm
_02837_,55.88µm
_01213_,55.865µm
_04858_,55.8µm
_06284_,55.72µm
de.pc_plus4_d\[12\],55.72µm
_01201_,55.525µm
decode_stage.rf.rf2rd2\[31\],55.49µm
_06256_,55.44µm
_01670_,55.38µm
_06681_,55.34µm
_07045_,55.33µm
_06226_,55.3µm
fetch_stage.thread_pc.t_pc\[0\]\[4\],55.29µm
_04263_,55.26µm
_01671_,55.16µm
_07125_,55.1µm
_05683_,55.02µm
_01298_,54.965µm
_05684_,54.88µm
_01331_,54.845µm
_01594_,54.845µm
_06069_,54.84µm
clknet_leaf_186_clk_regs,54.84µm
_03985_,54.82µm
net6,54.82µm
decode_stage.rf.rf2rd2\[30\],54.79µm
_06815_,54.78µm
decode_stage.rf.rf2rd1\[11\],54.67µm
_05582_,54.665µm
decode_stage.cu.op\[3\],54.48µm
_01295_,54.46µm
_01490_,54.44µm
_03530_,54.44µm
_04857_,54.38µm
clknet_leaf_8_clk_regs,54.36µm
_01576_,54.345µm
mw.pc_plus4_w\[1\],54.32µm
_01515_,54.295µm
_01189_,54.265µm
_07076_,54.26µm
_01553_,54.225µm
_01407_,54.22µm
_01580_,54.185µm
_03253_,54.04µm
decode_stage.rf.rf2rd1\[16\],53.99µm
net7,53.98µm
decode_stage.rf.rf2rd2\[6\],53.83µm
_06282_,53.76µm
_01508_,53.745µm
_05803_,53.72µm
_03086_,53.7µm
_01489_,53.68µm
_07034_,53.68µm
_04831_,53.58µm
_06542_,53.58µm
fetch_stage.thread_pc.t_pc\[1\]\[4\],53.58µm
_06813_,53.5µm
_06814_,53.46µm
de.pc_plus4_d\[19\],53.38µm
_05485_,53.32µm
_06410_,53.28µm
_03899_,53.24µm
_03385_,53.2µm
_05786_,53.18µm
_03234_,53.16µm
_01505_,53.105µm
_05854_,53.07µm
_03158_,53.055µm
_06943_,52.88µm
_01471_,52.825µm
_04888_,52.73µm
_05876_,52.66µm
_04297_,52.64µm
decode_stage.rf.rf2rd1\[29\],52.59µm
clknet_leaf_32_clk_regs,52.58µm
_06101_,52.57µm
fetch_stage.thread_pc.t_pc\[1\]\[7\],52.56µm
fetch_stage.thread_pc.t_pc\[7\]\[5\],52.48µm
_01525_,52.445µm
_03619_,52.36µm
de.pc_plus4_e\[23\],52.34µm
_05273_,52.28µm
_02849_,52.18µm
_05743_,52.17µm
clknet_leaf_42_clk_regs,52.16µm
_01520_,52.08µm
_03479_,52.06µm
alu_result_m_i\[14\],52.06µm
alu_result_m_i\[26\],52µm
_03706_,51.98µm
_03663_,51.94µm
_03901_,51.92µm
fetch_stage.thread_pc.t_pc\[5\]\[25\],51.88µm
_05630_,51.86µm
de.pc_plus4_d\[30\],51.84µm
clknet_leaf_27_clk_regs,51.84µm
_05280_,51.8µm
de.jump_e,51.78µm
_01514_,51.76µm
_03034_,51.68µm
_01537_,51.665µm
_03451_,51.66µm
net17,51.6µm
_02795_,51.58µm
_01695_,51.56µm
_05118_,51.52µm
_06050_,51.515µm
de.pc_plus4_e\[20\],51.5µm
_01781_,51.4µm
_07186_,51.39µm
_03076_,51.36µm
_03555_,51.36µm
_03329_,51.34µm
_05946_,51.29µm
fetch_stage.thread_pc.t_pc\[4\]\[10\],51.26µm
_01517_,51.245µm
decode_stage.rf.rf2rd2\[23\],51.23µm
_01191_,51.205µm
_04113_,51.14µm
_05730_,51.07µm
decode_stage.rf.rf2rd1\[21\],51.03µm
_01476_,50.96µm
_04862_,50.94µm
_05643_,50.94µm
_05347_,50.92µm
_02794_,50.86µm
_05460_,50.86µm
_01705_,50.82µm
_05449_,50.74µm
_04916_,50.66µm
de.pc_plus4_d\[22\],50.64µm
_06380_,50.54µm
_06972_,50.54µm
_05834_,50.44µm
_03295_,50.42µm
fetch_stage.thread_pc.t_pc\[5\]\[5\],50.4µm
_06137_,50.355µm
_04364_,50.34µm
fetch_stage.thread_pc.t_pc\[4\]\[4\],50.28µm
clknet_leaf_185_clk_regs,50.28µm
decode_stage.rf.rf2rd2\[2\],50.27µm
_01244_,50.26µm
_06507_,50.24µm
_01241_,50.23µm
_01591_,50.225µm
_01509_,50.185µm
_05958_,50.16µm
_01239_,50.14µm
_04118_,50.14µm
_01784_,50.105µm
_03128_,50.06µm
_06914_,50.02µm
_04906_,50µm
_06444_,49.98µm
_03609_,49.96µm
_06784_,49.86µm
_07501_,49.86µm
_02843_,49.82µm
net16,49.82µm
decode_stage.rf.rf2rd2\[9\],49.81µm
